---,Prompt_Dialogue
1.1,"Skip Breakfast?"
1.2,"Grab a quick pastry?"
2.1,"Take the slow scenic route?"
2.2,"Take the busy fast route?"
3.1,"Accept extra tasks?"
3.2,"Ask for help?"
4.1,"Stay home."
4.2,"Go out alone."
5.1,"Respond immediately to their message?"
5.2,"Ignore the message for now."
6.1,"Take off work to care for pet."
6.2,"Go to work and check on them later."
7.1,"Ignore the bills for now?"
7.2,"Call the bank?"
8.1,"Do I apologize first?"
8.2,"Make them apologize first."
9.1,"Attend the funeral."
9.2,"Stay home and grieve privately?"
10.1,"Talk about the future."
10.2,"Change the subject."
11.1,"Try a new drink."
11.2,"Skip it and go without."
