---,Prompt_Dialogue
1.1,"Used to skipping meals; it barely registers."
1.2,"Mood remains normal."
2.1,"Calming but ordinary."
2.2,"Another frustrating commute that I'm used to."
3.1,"Shrugs and handles it automatically. Almost upon reflex."
3.2,"No Shame, I am long past caring what others think."
4.1,"Relieved."
4.2,"Used to it."
5.1,"Blunt and honest as usual."
5.2,"Avoiding conflict with no guilt."
6.1,"Focuses on responsibility, compartmentalizes emotion."
6.2,"Used to pushing personal pain aside."
7.1,"I'll deal with it eventually."
7.2,"Calm, monotone, routine."
8.1,"Mechanical, without emotion."
8.2,"I'm fine with silence."
9.1,"Processed grief long ago; withdraws quietly."
9.2,"Sits with the pain but remains functional."
10.1,"Talks plainly. He's survived this long."
10.2,"However imperfect, the coping mechanisms have yet to fail."
11.1,"It's fine, no big deal."
11.2,"Didn't need it anyway."
